"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11441","Redirect to List View for search","chromium","2026-08-28","passed","2026-08-28","Calls Management in SuiteCRM","tests\features\Call.feature.spec.js","",""
"","9617","save authenticated state","setup","2026-08-28","passed","2026-08-28","","..\tests\auth.setup.js","",""
"","12386","Missing Mandatory Fields","chromium","2026-08-28","passed","2026-08-28","Calendar Event Creation SuiteCRM","tests\features\Calendar.feature.spec.js","",""
"","18133","Cancel meeting deletion","chromium","2026-08-28","passed","2026-08-28","Calendar Event Creation SuiteCRM","tests\features\Calendar.feature.spec.js","",""
"","12022","Launch structural Import Wizard - Import Calls","chromium","2026-08-28","passed","2026-08-28","Calls Management in SuiteCRM","tests\features\Call.feature.spec.js","",""
"","27542","Schedule a standard business meeting","chromium","2026-08-28","passed","2026-08-28","Calendar Event Creation SuiteCRM","tests\features\Calendar.feature.spec.js","",""
"","8236","Create a new Call record","chromium","2026-08-28","passed","2026-08-28","Calls Management in SuiteCRM","tests\features\Call.feature.spec.js","",""
"","15310","Field Verification","chromium","2026-08-28","passed","2026-08-28","Calls Management in SuiteCRM","tests\features\Call.feature.spec.js","",""
"","25459","Cross-day drag and drop","chromium","2026-08-28","passed","2026-08-28","Calendar Event Creation SuiteCRM","tests\features\Calendar.feature.spec.js","",""
"","26040","Create a Duplicate Call Entry","chromium","2026-08-28","passed","2026-08-28","Calls Management in SuiteCRM","tests\features\Call.feature.spec.js","",""
